2023-10-03 20:09:04 INFO     root city_data Extracting html data from Lodz, Poland page 14
2023-10-03 20:09:06 INFO     root city_data Extracting html data from Lodz, Poland page 15
2023-10-03 20:09:17 WARNING  root city_data Last page reached for Lodz, Poland.
2023-10-03 20:09:20 INFO     root city_data Extracting html data from Krakow, Poland page 1
2023-10-03 20:09:22 INFO     root city_data Extracting html data from Krakow, Poland page 2
2023-10-03 20:09:24 INFO     root city_data Extracting html data from Krakow, Poland page 3
2023-10-03 20:09:26 INFO     root city_data Extracting html data from Krakow, Poland page 4
2023-10-03 20:09:28 INFO     root city_data Extracting html data from Krakow, Poland page 5
2023-10-03 20:09:30 INFO     root city_data Extracting html data from Krakow, Poland page 6
2023-10-03 20:09:32 INFO     root city_data Extracting html data from Krakow, Poland page 7
2023-10-03 20:09:33 INFO     root city_data Extracting html data from Krakow, Poland page 8
2023-10-03 20:09:35 INFO     root city_data Extracting html data from Krakow, Poland page 9
2023-10-03 20:09:37 INFO     root city_data Extracting html data from Krakow, Poland page 10
2023-10-03 20:09:39 INFO     root city_data Extracting html data from Krakow, Poland page 11
2023-10-03 20:09:41 INFO     root city_data Extracting html data from Krakow, Poland page 12
2023-10-03 20:09:43 INFO     root city_data Extracting html data from Krakow, Poland page 13
2023-10-03 20:09:44 INFO     root city_data Extracting html data from Krakow, Poland page 14
2023-10-03 20:09:46 INFO     root city_data Extracting html data from Krakow, Poland page 15
2023-10-03 20:09:57 WARNING  root city_data Last page reached for Krakow, Poland.
2023-10-03 20:10:00 INFO     root city_data Extracting html data from Lublin, Poland page 1
2023-10-03 20:10:02 INFO     root city_data Extracting html data from Lublin, Poland page 2
2023-10-03 20:10:04 INFO     root city_data Extracting html data from Lublin, Poland page 3
2023-10-03 20:10:06 INFO     root city_data Extracting html data from Lublin, Poland page 4
2023-10-03 20:10:08 INFO     root city_data Extracting html data from Lublin, Poland page 5
2023-10-03 20:10:10 INFO     root city_data Extracting html data from Lublin, Poland page 6
2023-10-03 20:10:11 INFO     root city_data Extracting html data from Lublin, Poland page 7
2023-10-03 20:10:13 INFO     root city_data Extracting html data from Lublin, Poland page 8
2023-10-03 20:10:15 INFO     root city_data Extracting html data from Lublin, Poland page 9
2023-10-03 20:10:17 INFO     root city_data Extracting html data from Lublin, Poland page 10
2023-10-03 20:10:19 INFO     root city_data Extracting html data from Lublin, Poland page 11
2023-10-03 20:10:20 INFO     root city_data Extracting html data from Lublin, Poland page 12
2023-10-03 20:10:22 INFO     root city_data Extracting html data from Lublin, Poland page 13
2023-10-03 20:10:23 INFO     root city_data Extracting html data from Lublin, Poland page 14
2023-10-03 20:10:25 INFO     root city_data Extracting html data from Lublin, Poland page 15
2023-10-03 20:10:36 WARNING  root city_data Last page reached for Lublin, Poland.
2023-10-03 20:10:38 INFO     root city_data Extracting html data from Poznan, Poland page 1
2023-10-03 20:10:41 INFO     root city_data Extracting html data from Poznan, Poland page 2
2023-10-03 20:10:42 INFO     root city_data Extracting html data from Poznan, Poland page 3
2023-10-03 20:10:44 INFO     root city_data Extracting html data from Poznan, Poland page 4
2023-10-03 20:10:46 INFO     root city_data Extracting html data from Poznan, Poland page 5
2023-10-03 20:10:48 INFO     root city_data Extracting html data from Poznan, Poland page 6
2023-10-03 20:10:50 INFO     root city_data Extracting html data from Poznan, Poland page 7
2023-10-03 20:10:51 INFO     root city_data Extracting html data from Poznan, Poland page 8
2023-10-03 20:10:54 INFO     root city_data Extracting html data from Poznan, Poland page 9
2023-10-03 20:10:56 INFO     root city_data Extracting html data from Poznan, Poland page 10
2023-10-03 20:10:57 INFO     root city_data Extracting html data from Poznan, Poland page 11
2023-10-03 20:10:59 INFO     root city_data Extracting html data from Poznan, Poland page 12
2023-10-03 20:11:01 INFO     root city_data Extracting html data from Poznan, Poland page 13
2023-10-03 20:11:03 INFO     root city_data Extracting html data from Poznan, Poland page 14
2023-10-03 20:11:05 INFO     root city_data Extracting html data from Poznan, Poland page 15
2023-10-03 20:11:16 WARNING  root city_data Last page reached for Poznan, Poland.
2023-10-03 20:11:19 INFO     root city_data Extracting html data from Zakopane, Poland page 1
2023-10-03 20:11:21 INFO     root city_data Extracting html data from Zakopane, Poland page 2
2023-10-03 20:11:23 INFO     root city_data Extracting html data from Zakopane, Poland page 3
2023-10-03 20:11:25 INFO     root city_data Extracting html data from Zakopane, Poland page 4
2023-10-03 20:11:27 INFO     root city_data Extracting html data from Zakopane, Poland page 5
2023-10-03 20:11:29 INFO     root city_data Extracting html data from Zakopane, Poland page 6
2023-10-03 20:11:31 INFO     root city_data Extracting html data from Zakopane, Poland page 7
2023-10-03 20:11:33 INFO     root city_data Extracting html data from Zakopane, Poland page 8
2023-10-03 20:11:35 INFO     root city_data Extracting html data from Zakopane, Poland page 9
2023-10-03 20:11:37 INFO     root city_data Extracting html data from Zakopane, Poland page 10
2023-10-03 20:11:39 INFO     root city_data Extracting html data from Zakopane, Poland page 11
2023-10-03 20:11:41 INFO     root city_data Extracting html data from Zakopane, Poland page 12
2023-10-03 20:11:43 INFO     root city_data Extracting html data from Zakopane, Poland page 13
