2023-10-02 22:40:50 INFO     root config_logging Logger configured. Logging level: INFO
2023-10-02 22:40:59 INFO     root city_data Extracting html data from Warsaw, Poland page 1
2023-10-02 22:41:02 INFO     root city_data Extracting html data from Warsaw, Poland page 2
2023-10-02 22:41:05 INFO     root city_data Extracting html data from Warsaw, Poland page 3
2023-10-02 22:41:08 INFO     root city_data Extracting html data from Warsaw, Poland page 4
2023-10-02 22:41:12 INFO     root city_data Extracting html data from Warsaw, Poland page 5
2023-10-02 22:41:15 INFO     root city_data Extracting html data from Warsaw, Poland page 6
2023-10-02 22:41:19 INFO     root city_data Extracting html data from Warsaw, Poland page 7
2023-10-02 22:41:22 INFO     root city_data Extracting html data from Warsaw, Poland page 8
2023-10-02 22:41:24 INFO     root city_data Extracting html data from Warsaw, Poland page 9
2023-10-02 22:41:28 INFO     root city_data Extracting html data from Warsaw, Poland page 10
2023-10-02 22:41:31 INFO     root city_data Extracting html data from Warsaw, Poland page 11
2023-10-02 22:41:35 INFO     root city_data Extracting html data from Warsaw, Poland page 12
2023-10-02 22:41:38 INFO     root city_data Extracting html data from Warsaw, Poland page 13
2023-10-02 22:41:41 INFO     root city_data Extracting html data from Warsaw, Poland page 14
2023-10-02 22:41:44 INFO     root city_data Extracting html data from Warsaw, Poland page 15
2023-10-02 22:41:56 WARNING  root city_data Last page reached for Warsaw, Poland.
2023-10-02 22:42:00 INFO     root city_data Extracting html data from Wroclaw, Poland page 1
2023-10-02 22:42:04 INFO     root city_data Extracting html data from Wroclaw, Poland page 2
2023-10-02 22:42:08 INFO     root city_data Extracting html data from Wroclaw, Poland page 3
2023-10-02 22:42:11 INFO     root city_data Extracting html data from Wroclaw, Poland page 4
2023-10-02 22:42:14 INFO     root city_data Extracting html data from Wroclaw, Poland page 5
2023-10-02 22:42:17 INFO     root city_data Extracting html data from Wroclaw, Poland page 6
2023-10-02 22:42:20 INFO     root city_data Extracting html data from Wroclaw, Poland page 7
2023-10-02 22:42:23 INFO     root city_data Extracting html data from Wroclaw, Poland page 8
2023-10-02 22:42:26 INFO     root city_data Extracting html data from Wroclaw, Poland page 9
2023-10-02 22:42:30 INFO     root city_data Extracting html data from Wroclaw, Poland page 10
2023-10-02 22:42:33 INFO     root city_data Extracting html data from Wroclaw, Poland page 11
2023-10-02 22:42:36 INFO     root city_data Extracting html data from Wroclaw, Poland page 12
2023-10-02 22:42:39 INFO     root city_data Extracting html data from Wroclaw, Poland page 13
