2023-09-16 20:34:14 INFO     root config_logging Logger configured. Logging level: INFO
2023-09-16 20:34:22 INFO     root city_data Extracting html data from Warsaw, Poland page 1
2023-09-16 20:34:23 INFO     root city_data Extracting html data from Warsaw, Poland page 2
2023-09-16 20:34:25 INFO     root city_data Extracting html data from Warsaw, Poland page 3
2023-09-16 20:34:27 INFO     root city_data Extracting html data from Warsaw, Poland page 4
2023-09-16 20:34:28 INFO     root city_data Extracting html data from Warsaw, Poland page 5
2023-09-16 20:34:30 INFO     root city_data Extracting html data from Warsaw, Poland page 6
2023-09-16 20:34:32 INFO     root city_data Extracting html data from Warsaw, Poland page 7
2023-09-16 20:34:33 INFO     root city_data Extracting html data from Warsaw, Poland page 8
2023-09-16 20:34:35 INFO     root city_data Extracting html data from Warsaw, Poland page 9
2023-09-16 20:34:37 INFO     root city_data Extracting html data from Warsaw, Poland page 10
2023-09-16 20:34:38 INFO     root city_data Extracting html data from Warsaw, Poland page 11
2023-09-16 20:34:40 INFO     root city_data Extracting html data from Warsaw, Poland page 12
2023-09-16 20:34:42 INFO     root city_data Extracting html data from Warsaw, Poland page 13
2023-09-16 20:34:44 INFO     root city_data Extracting html data from Warsaw, Poland page 14
2023-09-16 20:34:45 INFO     root city_data Extracting html data from Warsaw, Poland page 15
2023-09-16 20:34:56 WARNING  root city_data Last page reached for Warsaw, Poland.
2023-09-16 20:34:59 INFO     root city_data Extracting html data from Wroclaw, Poland page 1
2023-09-16 20:35:01 INFO     root city_data Extracting html data from Wroclaw, Poland page 2
2023-09-16 20:35:03 INFO     root city_data Extracting html data from Wroclaw, Poland page 3
2023-09-16 20:35:05 INFO     root city_data Extracting html data from Wroclaw, Poland page 4
2023-09-16 20:35:06 INFO     root city_data Extracting html data from Wroclaw, Poland page 5
2023-09-16 20:35:08 INFO     root city_data Extracting html data from Wroclaw, Poland page 6
2023-09-16 20:35:10 INFO     root city_data Extracting html data from Wroclaw, Poland page 7
2023-09-16 20:35:11 INFO     root city_data Extracting html data from Wroclaw, Poland page 8
2023-09-16 20:35:13 INFO     root city_data Extracting html data from Wroclaw, Poland page 9
2023-09-16 20:35:14 INFO     root city_data Extracting html data from Wroclaw, Poland page 10
2023-09-16 20:35:16 INFO     root city_data Extracting html data from Wroclaw, Poland page 11
2023-09-16 20:35:18 INFO     root city_data Extracting html data from Wroclaw, Poland page 12
2023-09-16 20:35:19 INFO     root city_data Extracting html data from Wroclaw, Poland page 13
2023-09-16 20:35:21 INFO     root city_data Extracting html data from Wroclaw, Poland page 14
2023-09-16 20:35:23 INFO     root city_data Extracting html data from Wroclaw, Poland page 15
2023-09-16 20:35:34 WARNING  root city_data Last page reached for Wroclaw, Poland.
2023-09-16 20:35:36 INFO     root city_data Extracting html data from Katowice, Poland page 1
2023-09-16 20:35:38 INFO     root city_data Extracting html data from Katowice, Poland page 2
2023-09-16 20:35:40 INFO     root city_data Extracting html data from Katowice, Poland page 3
2023-09-16 20:35:42 INFO     root city_data Extracting html data from Katowice, Poland page 4
2023-09-16 20:35:43 INFO     root city_data Extracting html data from Katowice, Poland page 5
2023-09-16 20:35:45 INFO     root city_data Extracting html data from Katowice, Poland page 6
2023-09-16 20:35:46 INFO     root city_data Extracting html data from Katowice, Poland page 7
2023-09-16 20:35:48 INFO     root city_data Extracting html data from Katowice, Poland page 8
2023-09-16 20:35:50 INFO     root city_data Extracting html data from Katowice, Poland page 9
2023-09-16 20:35:52 INFO     root city_data Extracting html data from Katowice, Poland page 10
2023-09-16 20:35:53 INFO     root city_data Extracting html data from Katowice, Poland page 11
2023-09-16 20:35:55 INFO     root city_data Extracting html data from Katowice, Poland page 12
2023-09-16 20:35:56 INFO     root city_data Extracting html data from Katowice, Poland page 13
2023-09-16 20:35:59 INFO     root city_data Extracting html data from Katowice, Poland page 14
2023-09-16 20:36:00 INFO     root city_data Extracting html data from Katowice, Poland page 15
2023-09-16 20:36:11 WARNING  root city_data Last page reached for Katowice, Poland.
2023-09-16 20:36:14 INFO     root city_data Extracting html data from Gdansk, Poland page 1
2023-09-16 20:36:16 INFO     root city_data Extracting html data from Gdansk, Poland page 2
2023-09-16 20:36:18 INFO     root city_data Extracting html data from Gdansk, Poland page 3
2023-09-16 20:36:20 INFO     root city_data Extracting html data from Gdansk, Poland page 4
2023-09-16 20:36:22 INFO     root city_data Extracting html data from Gdansk, Poland page 5
