city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),beds,star,number_of_ratings
"Katowice, Poland",2023-08-19,Apartment in Katowice,Blue Apartament,176,176,Aug 21 - 26,880,1 bed,4.81,83
"Katowice, Poland",2023-08-19,Hotel in Katowice,Single room in Katowice,130,130,Aug 21 - 26,646,1 bed,4.67,3
"Katowice, Poland",2023-08-19,Room in Katowice,Room next to Bottom.,141,141,Aug 31 - Sep 5,704,1 bed,4.46,24
"Katowice, Poland",2023-08-19,Room in Katowice,A room with a red door in a historic townhouse,134,134,Aug 27 - Sep 1,670,1 bed,4.86,21
"Katowice, Poland",2023-08-19,Apartment in Katowice,Modern and cozy studio for your own,147,243,Aug 27 - Sep 1,735,2 beds,4.6,43
"Katowice, Poland",2023-08-19,Room in Katowice,Apartament Mila romantic room,164,164,Aug 27 - Sep 1,816,2 beds,4.91,223
"Katowice, Poland",2023-08-19,Apartment in Katowice,Comfortable apartment - close to two parks!,174,195,Aug 27 - Sep 1,868,2 beds,4.75,77
"Katowice, Poland",2023-08-19,Apartment in Katowice,Warszawska 44,207,207,Aug 21 - 26,"1,033",1 bed,4.67,42
"Katowice, Poland",2023-08-19,Apartment in Sosnowiec,Charming studio in a good location,166,166,Aug 21 - 26,827,1 double bed,4.73,26
"Katowice, Poland",2023-08-19,Room in Katowice,Downtown room with private bathroom and balcony,183,183,Aug 20 - 25,911,1 double bed,4.9,10
"Katowice, Poland",2023-08-19,Room in Katowice,Intimate Stryszek IV,70,70,Aug 28 - Sep 3,420,1 double bed,4.78,9
"Katowice, Poland",2023-08-19,Apartment in Katowice,Urban Apartments Johna Baildona 18b/103b A Garage,284,284,Aug 20 - 25,"1,420",1 bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Rainbow Apartament,180,180,Aug 27 - Sep 2,"1,080",1 bed,4.75,81
"Katowice, Poland",2023-08-19,Apartment in Katowice,Lovely apartment in the heart of Kato!,179,215,Sep 1 - 6,892,1 bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,KATO Apartments Moniuszki 12/4B,193,193,Aug 27 - Sep 1,963,1 double bed,4.89,100
"Katowice, Poland",2023-08-19,Apartment in Katowice,Panorama Penthouse - city center 100m2 with AC,680,680,Aug 28 - Sep 2,"3,398",3 beds,5.0,47
"Katowice, Poland",2023-08-19,Room in Katowice,"One bedroom in a calm area

 area with parking",96,110,Aug 28 - Sep 2,477,3 beds,3.6,5
"Katowice, Poland",2023-08-19,Apartment in Katowice,SPODEK Apartment,186,186,Aug 27 - Sep 1,927,2 beds,4.95,248
"Katowice, Poland",2023-08-19,Apartment in Katowice,Katowice centrum - great view apartment,214,214,Sep 22 - 27,"1,067",1 double bed,4.83,227
"Katowice, Poland",2023-08-19,Apartment in Katowice,Studio Apartment 6 City Center-Self Check in 24h,172,269,Aug 20 - 25,860,1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Katowice, Poland",2023-08-19,Apartment in Katowice,Smart-Apt Komfortowe mieszkanie w centrum Katowic,222,222,Aug 27 - Sep 1,"1,109",2 beds,4.67,72
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment at MCK,273,308,Aug 27 - Sep 1,"1,361",2 single beds,4.98,109
"Katowice, Poland",2023-08-19,Condo in Katowice,*Apartament Kattowitz 12C,172,172,Aug 27 - Sep 1,857,1 bed,4.79,34
"Katowice, Poland",2023-08-19,Apartment in Katowice,Katowice Centrum,202,202,Aug 21 - 26,"1,009",1 bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Private 5-Star Home in the heart of Katowice,291,335,Aug 27 - Sep 1,"1,451",2 beds,4.91,92
"Katowice, Poland",2023-08-19,Apartment in Katowice,Luxury Black&White Apartment 8,172,206,Aug 27 - Sep 1,857,1 bed,4.8,5
"Katowice, Poland",2023-08-19,Apartment in Katowice,Lovely apartment Dyrekcyjna street! City center!,201,219,Aug 27 - Sep 3,"1,401",3 beds,4.83,6
"Katowice, Poland",2023-08-19,Apartment in Katowice,Modern and functional apartment near the forest,264,264,Aug 29 - Sep 4,"1,584",2 beds,5.0,14
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartamenty na Teatralnej 14 No. 1 - Katowice,206,206,Aug 27 - Sep 1,"1,027",1 double bed,4.82,34
"Katowice, Poland",2023-08-19,Place to stay in Bedzin,Rooms for 1 and 2 people for rent.,59,59,Aug 20 - 25,293,5 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,CozyApartment Kochanowskiego,296,296,Aug 20 - 26,"1,775",2 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Modern, cozy apartment in Katowice",286,286,Aug 29 - Sep 3,"1,426",1 king bed,5.0,43
"Katowice, Poland",2023-08-19,Apartment in Katowice,Cozy apartment in very centre of Katowice !,202,202,Aug 27 - Sep 1,"1,009",2 beds,5.0,8
"Katowice, Poland",2023-08-19,Apartment in Katowice,Studio Apartment 4 City Center-Self Check in 24h,166,269,Aug 20 - 25,830,1 bed,4.75,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,KATO Apartamenty Centrum Slowackiego 12,211,211,Oct 19 - 25,"1,262",1 double bed,4.89,181
"Katowice, Poland",2023-08-19,Apartment in Katowice,CityNest No 16,349,349,Aug 21 - 26,"1,743",2 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment in the heart of Katowice / 2' m.square,341,341,Aug 27 - Sep 1,"1,702",2 beds,4.91,56
"Katowice, Poland",2023-08-19,Room in Katowice,Retrospace,152,206,Aug 27 - Sep 1,759,2 beds,4.87,47
"Katowice, Poland",2023-08-19,Apartment in Katowice,Centrum/ City Centre,205,205,Sep 3 - 8,"1,021",1 bed,4.86,28
"Katowice, Poland",2023-08-19,Apartment in Katowice,Cozy studio with free parking on premises,176,176,Sep 17 - 22,880,2 beds,4.83,69
"Katowice, Poland",2023-08-19,Apartment in Katowice,Enjoy access to a modern studio,204,357,Sep 1 - 6,"1,019",2 beds,4.73,26
"Katowice, Poland",2023-08-19,Apartment in Katowice,KTW Apartment,245,245,Sep 3 - 8,"1,221",1 bed,5.0,11
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Flat in the City,194,194,Aug 27 - Sep 1,968,3 beds,5.0,3
"Katowice, Poland",2023-08-19,Apartment in Katowice,*Apartament Kattowitz 12A,184,184,Aug 21 - 26,917,1 bed,4.83,46
"Katowice, Poland",2023-08-19,Room in Katowice,Best Guest Room in Kato,118,118,Sep 3 - 8,588,1 bed,4.79,53
"Katowice, Poland",2023-08-19,Apartment in Katowice,Centrum Katowic,223,223,Aug 21 - 27,"1,338",1 bed,4.75,8
"Katowice, Poland",2023-08-19,Apartment in Katowice,Fabulous apartment in heart of Katowice,290,290,Aug 27 - Sep 1,"1,449",1 double bed,4.93,220
"Katowice, Poland",2023-08-19,Apartment in Katowice,In the heart of Katowice,235,235,Aug 21 - 26,"1,174",1 bed,5.0,5
"Katowice, Poland",2023-08-19,Island in Katowice,Apartament Cultural Zone,255,255,Aug 27 - Sep 2,"1,526",2 single beds,4.88,94
"Katowice, Poland",2023-08-19,Apartment in Katowice,Unique apartment with a balcony in the city center,239,239,Aug 29 - Sep 3,"1,195",2 single beds,4.78,134
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment Nikishovets / Katowice,435,483,Aug 20 - 25,"2,171",1 double bed,5.0,19
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartments Sunset III - 50m2,376,376,Aug 29 - Sep 3,"1,877",1 double bed,4.99,74
"Katowice, Poland",2023-08-19,Apartment in Katowice,Verde Apartment - Katowice Centrum,218,218,Aug 27 - Sep 1,"1,086",1 bed,4.83,6
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartamenty na Teatralnej 14 No.2 - Katowice,229,229,Aug 27 - Sep 1,"1,144",1 double bed,4.77,30
"Katowice, Poland",2023-08-19,Apartment in Katowice,KATO Apartments Moniuszki 12/3A,193,193,Aug 27 - Sep 1,963,1 double bed,4.86,136
"Katowice, Poland",2023-08-19,Apartment in Katowice,Wincentego Styczynskiego 1/3,269,269,Aug 20 - 25,"1,341",1 sofa bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartments Sunset IV - 50m2,376,376,Aug 30 - Sep 4,"1,877",1 double bed,4.94,36
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Park studio flat Katowice/Chorzow,165,165,Aug 27 - Sep 1,822,2 beds,4.94,65
"Katowice, Poland",2023-08-19,Room in Katowice,Private room in the apartment close to the centre,153,153,Aug 21 - 26,763,2 beds,4.9,39
"Katowice, Poland",2023-08-19,Apartment in Katowice,Studio Apartment 2 City Center-Self Check in 24h,220,220,Aug 28 - Sep 2,"1,100",1 bed,4.76,122
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartament Kolibrow,288,288,Aug 28 - Sep 3,"1,723",2 beds,5.0,19
"Katowice, Poland",2023-08-19,Apartment in Katowice,Grey Apartament,174,219,Aug 20 - 25,869,1 bed,4.78,41
"Katowice, Poland",2023-08-19,Apartment in Katowice,New modern Scandinavian apartment,438,438,Aug 26 - 31,"2,189",2 beds,4.92,51
"Katowice, Poland",2023-08-19,Apartment in Katowice,Urban Apartments Premium Downtown  Nr89  - Garage,429,429,Aug 28 - Sep 2,"2,145",2 beds,4.9,31
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment with view Madius Stay Inn,264,264,Sep 5 - 10,"1,320",2 beds,5.0,17
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Modern, beautiful apartment by the Silesian Park",293,293,Aug 30 - Sep 5,"1,753",1 double bed,4.94,32
"Katowice, Poland",2023-08-19,Apartment in Katowice,Cozy Apartment in the City Center Katowice,206,206,Aug 28 - Sep 2,"1,027",1 double bed,4.94,110
"Katowice, Poland",2023-08-19,Apartment in Katowice,Spacious 60sqm Apartment in the heart of KATOwice,277,277,Sep 9 - 14,"1,384",1 double bed,5.0,20
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment in Katowice city center,165,165,Aug 27 - Sep 1,822,1 double bed,4.84,33
"Katowice, Poland",2023-08-19,Apartment in Katowice,Lovely apartment with free park,362,453,Aug 30 - Sep 4,"1,807",2 beds,4.43,42
"Katowice, Poland",2023-08-19,Apartment in Katowice,Centrum Katowic/ City Centre,216,290,Aug 27 - Sep 1,"1,080",1 bed,4.79,14
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment in attic in the heart of Katowice,207,207,Aug 28 - Sep 2,"1,033",1 double bed,4.83,6
"Katowice, Poland",2023-08-19,Apartment in Katowice,Harbor Apartments - Z58A,247,247,Aug 27 - Sep 1,"1,235",3 beds,4.56,9
"Katowice, Poland",2023-08-19,Apartment in Katowice,^Sunny apartment in the City Center,295,295,Aug 21 - 26,"1,471",2 beds,4.55,33
"Katowice, Poland",2023-08-19,Apartment in Katowice,Official in the center of Katowice,282,282,Aug 30 - Sep 4,"1,408",1 double bed,5.0,16
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartments Sunset II - 50m2,376,376,Aug 29 - Sep 3,"1,877",1 double bed,4.98,91
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment in the heart of Nikishovec,212,212,Sep 2 - 7,"1,056",2 beds,5.0,19
"Katowice, Poland",2023-08-19,Apartment in Katowice,Katowice Centrum - Exclusive,215,215,Aug 27 - Sep 1,"1,074",2 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,SchikiNiki (Sultans Freude),263,263,Aug 27 - Sep 1,"1,314",2 beds,4.95,58
"Katowice, Poland",2023-08-19,Apartment in Katowice,Studio Apartment  3A City Center Self Check In,220,220,Aug 27 - Sep 1,"1,100",4 double beds,4.8,35
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartament Katowice Park Slaski,237,237,Aug 20 - 25,"1,184",2 beds,4.5,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,Stylish Downtown Apartment - Opolska,323,323,Aug 27 - Sep 2,"1,937",1 bed,4.94,31
"Katowice, Poland",2023-08-19,Apartment in Katowice,KTW II Apartment,246,246,Aug 21 - 26,"1,226",2 beds,4.75,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,Charming apartment in Nikishkovec,249,340,Aug 27 - Sep 1,"1,244",2 beds,4.5,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,Katowice Centrum MCK/Spodek 2km walks,368,368,Aug 21 - 26,"1,836",2 beds,5.0,5
"Katowice, Poland",2023-08-19,Place to stay in Katowice,Kattowitz Slovakian apartments 2,177,177,Sep 3 - 8,882,2 beds,4.43,7
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Lovely apartment right in front of Silesian Park,196,196,Aug 28 - Sep 2,976,2 beds,4.88,16
"Katowice, Poland",2023-08-19,Apartment in Katowice,APARTMENT SOKOLSKA,277,277,Sep 2 - 7,"1,385",2 beds,4.97,127
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartament blisko centrum,383,383,Aug 19 - 24,"1,913",1 bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Harbor Apartments - Z57B,203,203,Aug 20 - 25,"1,015",1 double bed,4.86,14
"Katowice, Poland",2023-08-19,Apartment in Katowice,Harbor Apartments - D408A,277,277,Aug 27 - Sep 1,"1,385",3 beds,4.72,36
"Katowice, Poland",2023-08-19,Apartment in Katowice,Charming apartment in Cenrtum,294,294,Sep 4 - 10,"1,760",2 beds,4.61,38
"Katowice, Poland",2023-08-19,Apartment in Katowice,KATO Apartamenty Centrum Moniuszki 12/4A,215,215,Sep 17 - 22,"1,073",1 double bed,4.87,76
"Katowice, Poland",2023-08-19,Apartment in Katowice,Mieszkanie w Centrum/ City Centre,216,261,Aug 27 - Sep 1,"1,080",1 bed,4.92,12
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment a step to the heart of Katowice,389,389,Aug 29 - Sep 3,"1,942",1 double bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Two level flat,411,411,Aug 27 - Sep 1,"2,054",3 beds,5.0,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,KTW Apartment I,306,306,Aug 28 - Sep 2,"1,526",3 beds,5.0,7
"Katowice, Poland",2023-08-19,Apartment in Katowice,Cosy studio in the very city centre of Katowice,198,198,Aug 31 - Sep 6,"1,183",1 bed,4.85,41
"Katowice, Poland",2023-08-19,Apartment in Chorzow,New & cozy apartment by the Park,251,251,Sep 10 - 15,"1,253",4 beds,5.0,12
"Katowice, Poland",2023-08-19,Apartment in Katowice,Jupiter Silesian Place Apartments,347,347,Aug 27 - Sep 1,"1,731",2 beds,4.79,39
"Katowice, Poland",2023-08-19,Apartment in Katowice,KT103/59 One-Bedroom Apartment with Living Room,320,422,Aug 19 - 24,"1,596",2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Katowice, Poland",2023-08-19,Guesthouse in Katowice,Bungalov Ligota,188,188,Aug 31 - Sep 5,939,1 sofa bed,5.0,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,A studio apartment in New Bird.,223,223,Aug 19 - 25,"1,338",2 beds,New,New
"Katowice, Poland",2023-08-19,Guest suite in Katowice,Spacious Studio Apartment | Studio na poddaszu,212,212,Sep 4 - 9,"1,056",1 double bed,4.9,52
"Katowice, Poland",2023-08-19,Apartment in Katowice,Comfortable apartment in the center.,200,233,Aug 20 - 25,998,2 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Studio Apartment D City Center-Self Check in 24h,220,220,Aug 27 - Sep 1,"1,100",1 sofa bed,4.72,65
"Katowice, Poland",2023-08-19,Apartment in Katowice,Room 5A cozy with city views,180,180,Aug 27 - Sep 3,"1,257",1 bed,4.73,11
"Katowice, Poland",2023-08-19,Apartment in Katowice,Luxurious BOHO style apart.+Desk,232,282,Sep 1 - 8,"1,624",2 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Very Big Apartment with 3 Baths,727,727,Aug 21 - 26,"3,632",6 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,Modern apartment close to Katowice center!,235,278,Aug 27 - Sep 1,"1,171",2 beds,4.88,16
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Cichy Kacik, ul. Rybnicka w Katowicach",211,229,Aug 31 - Sep 7,"1,472",1 bed,5.0,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment Rajzefiber | Spodek | MCK | NOSPR,294,294,Aug 31 - Sep 5,"1,467",2 double beds,4.95,59
"Katowice, Poland",2023-08-19,Apartment in Katowice,1 bedroom Francuska Park Apartment,285,285,Aug 28 - Sep 2,"1,425",1 king bed,4.92,12
"Katowice, Poland",2023-08-19,Apartment in Katowice,Mieszkanie w scislym Centrum Katowic / City Center,221,245,Aug 21 - 26,"1,103",1 bed,4.73,15
"Katowice, Poland",2023-08-19,Apartment in Katowice,MCK Katowice Studio Apartment,326,409,Aug 28 - Sep 2,"1,627",2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Katowice, Poland",2023-08-19,Apartment in Katowice,Lux City Apartments,282,282,Aug 21 - 26,"1,408",2 sofa beds,4.87,45
"Katowice, Poland",2023-08-19,Apartment in Katowice,KT103/17 Two Bedroom Apartment,329,373,Aug 20 - 25,"1,643",3 beds,5.0,5
"Katowice, Poland",2023-08-19,Apartment in Katowice,Sunny Downtown,254,254,Aug 21 - 26,"1,268",2 beds,5.0,7
"Katowice, Poland",2023-08-19,Apartment in Katowice,Ceglana Park | Stylish studio | Balcony & Garage,307,307,Aug 21 - 26,"1,534",1 double bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Apartament in the center, homelike and cozy",210,257,Aug 20 - 25,"1,049",1 double bed,5.0,9
"Katowice, Poland",2023-08-19,Apartment in Katowice,Luxury PRL Park Silesian+Legend+ZOO,147,176,Sep 3 - 8,734,1 bed,4.57,7
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Apartament Sportowa,228,274,Sep 4 - 11,"1,591",2 beds,4.97,31
"Katowice, Poland",2023-08-19,Apartment in Katowice,City Centre/Apartment downtown,216,284,Aug 27 - Sep 1,"1,080",1 bed,4.69,13
"Katowice, Poland",2023-08-19,Apartment in Katowice,Sunny Apartment - Katowice Ligota,201,201,Sep 5 - 10,"1,002",1 double bed,4.92,24
"Katowice, Poland",2023-08-19,Apartment in Katowice,Deco  Apartments Mariacka 8/3,352,352,Aug 27 - Sep 1,"1,760",5 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Katowice, Poland",2023-08-19,Room in Katowice,Room in downtown Katowice,306,306,Aug 21 - 26,"1,526",5 beds,5.0,4
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Urban Apartments  Dluga 40 Chorzow Katowice,247,247,Aug 20 - 25,"1,233",1 double bed,5.0,19
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Central apartment with free parking,216,216,Sep 17 - 22,"1,076",3 beds,4.77,22
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Apartment near downtown, parking, peace, convenience",388,388,Sep 2 - 7,"1,937",3 beds,4.87,46
"Katowice, Poland",2023-08-19,Apartment in Katowice,LUX Bazantow Apartment,304,304,Aug 19 - 24,"1,519",2 sofa beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Katowice,*Apartamenty Kattowitz 12,184,184,Aug 21 - 26,917,1 bed,4.66,67
"Katowice, Poland",2023-08-19,Apartment in Katowice,Atmospheric studio with parking,202,202,Sep 5 - 10,"1,009",1 double bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Niebiesko-zielony apartament,264,264,Aug 20 - 26,"1,584",2 beds,4.75,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,Katowice - easy access,188,188,Aug 22 - 27,939,1 sofa bed,4.93,27
"Katowice, Poland",2023-08-19,Apartment in Katowice,Sunny Apartment near Kosciuszko Park,329,329,Aug 27 - Sep 1,"1,643",2 beds,5.0,9
"Katowice, Poland",2023-08-19,Apartment in Katowice,Blue apartment - near Spodek,264,292,Sep 9 - 14,"1,320",1 king bed,5.0,9
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartament Brynow,376,376,Aug 27 - Sep 1,"1,878",2 beds,5.0,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,Pastel Blue Silesian Place Apartments,347,347,Aug 27 - Sep 1,"1,731",2 beds,4.48,25
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Katowice, Bytkowska 103 II, free parking",294,294,Aug 20 - 26,"1,760",1 bed,4.5,4
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment  200m from Conference Centre.,270,270,Aug 21 - 26,"1,350",2 beds,4.62,26
"Katowice, Poland",2023-08-19,Apartment in Katowice,Urban Apartments Premium Downtown  Nr90  Garage,455,455,Aug 27 - Sep 2,"2,729",2 beds,5.0,12
"Katowice, Poland",2023-08-19,Apartment in Katowice,Friendly Apartment with balcony and 1 bedroom,360,394,Aug 20 - 25,"1,796",2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Katowice, Poland",2023-08-19,Apartment in Katowice,^'Polonia Stylish Apartment in the City Center,274,345,Aug 27 - Sep 1,"1,367",2 beds,4.71,14
"Katowice, Poland",2023-08-19,Apartment in Katowice,"The Main Apartment Goreckiego - mck, nospr, spodek",382,382,Sep 3 - 8,"1,907",1 bed,4.86,7
"Katowice, Poland",2023-08-19,Apartment in Katowice,Charming apartment with hot tub,470,470,Aug 28 - Sep 2,"2,347",1 bed,4.56,9
"Katowice, Poland",2023-08-19,Apartment in Katowice,Silesian Park comfortable 3 rooms,306,306,Aug 20 - 25,"1,526",4 beds,New,New
"Katowice, Poland",2023-08-19,Apartment in Ruda Slaska,Cozy apartment in tenement house,187,187,Aug 21 - 26,933,2 beds,4.75,4
"Katowice, Poland",2023-08-19,Condo in Katowice,Stylish two bedroom apartment,237,237,Sep 4 - 9,"1,185",2 beds,4.94,51
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Room  4A , welcoming and comfortable",180,199,Aug 31 - Sep 5,895,2 beds,5.0,5
"Katowice, Poland",2023-08-19,Guesthouse in Katowice,PRESTIGE eM Apartment 17,164,221,Sep 3 - 8,816,1 king bed,4.72,145
"Katowice, Poland",2023-08-19,Condo in Sosnowiec,APARTMENT IN PERFECT LOCATION,294,294,Aug 20 - 25,"1,467",2 beds,4.84,32
"Katowice, Poland",2023-08-19,Apartment in Katowice,Spacious Central Apartment with Parking,264,264,Sep 6 - 11,"1,320",1 bed,5.0,13
"Katowice, Poland",2023-08-19,Apartment in Katowice,^- Cozy studio apartment with mezzanine,210,256,Aug 27 - Sep 1,"1,047",2 beds,4.33,18
"Katowice, Poland",2023-08-19,Apartment in Katowice,Lazy Days Attic City Center,399,399,Aug 27 - Sep 1,"1,995",2 beds,4.64,37
"Katowice, Poland",2023-08-19,Apartment in Katowice,Modern two-room apartment with balcony,392,392,Aug 20 - 25,"1,960",2 beds,4.5,14
"Katowice, Poland",2023-08-19,Apartment in Chorzow,Cozy studio for 2,148,148,Sep 17 - 22,740,1 bed,4.91,45
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartament,829,952,Aug 20 - 25,"4,141",3 beds,5.0,6
"Katowice, Poland",2023-08-19,Apartment in Katowice,^'Kato_Best_Staying apartment with bedroom/balcony,279,316,Aug 21 - 26,"1,395",1 bed,4.4,20
"Katowice, Poland",2023-08-19,Apartment in Katowice,Glamour Apartament w poblizu rynku,277,277,Aug 28 - Sep 2,"1,383",4 beds,4.77,13
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Apartment with balcony and park view, Katowice",290,290,Aug 20 - 25,"1,449",1 bed,4.76,29
"Katowice, Poland",2023-08-19,Apartment in Katowice,Studio Katowice,172,172,Sep 9 - 14,857,1 bed,4.67,15
"Katowice, Poland",2023-08-19,Apartment in Katowice,Cozy studio in the park,117,117,Aug 26 - Sep 2,813,1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Katowice, Poland",2023-08-19,Apartment in Sosnowiec,Apartament z parkingiem,374,374,Aug 20 - 25,"1,866",3 beds,4.88,8
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartament Mariacka 20/1,610,610,Aug 19 - 24,"3,046",2 double beds,4.62,29
"Katowice, Poland",2023-08-19,Apartment in Katowice,City Center Apartment,202,202,Sep 3 - 9,"1,209",1 bed,New,New
"Katowice, Poland",2023-08-19,Apartment in Czeladz,"Apartment in Czeladzi, Slaskie",151,151,Sep 2 - 7,751,2 double beds,4.95,92
"Katowice, Poland",2023-08-19,Room in Katowice,C_Lovely room with balcony in downtown,235,235,Aug 21 - 26,"1,174",2 double beds,3.25,4
"Katowice, Poland",2023-08-19,Apartment in Bedzin,"Apartment in Bedzin, Slaskie",147,147,Aug 25 - 31,878,4 beds,4.68,63
"Katowice, Poland",2023-08-19,Apartment in Katowice,Green energy,345,345,Aug 19 - 24,"1,725",1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Katowice, Poland",2023-08-19,Apartment in Katowice,P22_Venus Apartment in the City Center,352,352,Aug 21 - 26,"1,760",2 beds,4.69,16
"Katowice, Poland",2023-08-19,Apartment in Katowice,1 bedroom City Center apartment,230,230,Aug 28 - Sep 2,"1,150",1 double bed,5.0,25
"Katowice, Poland",2023-08-19,Apartment in Ruda Slaska,Loft apartment in the heart of Silesia,247,247,Aug 27 - Sep 1,"1,232",1 double bed,5.0,23
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartment Zlotyka Nikishovets,376,376,Aug 27 - Sep 1,"1,878",3 beds,4.86,7
"Katowice, Poland",2023-08-19,Apartment in Katowice,Beautiful 3 bedroom apartment,310,310,Aug 27 - Sep 1,"1,549",4 beds,4.9,20
"Katowice, Poland",2023-08-19,Apartment in Katowice,Mosquito Silesia Apartment - Deluxe,413,413,Aug 19 - 25,"2,478",2 queen beds,4.64,14
"Katowice, Poland",2023-08-19,Apartment in Katowice,*Apartamenty Kattowitz 12B,242,242,Aug 27 - Sep 1,"1,210",2 double beds,4.82,44
"Katowice, Poland",2023-08-19,Apartment in Katowice,"Cozy apartment near downtown, free parking",247,247,Aug 27 - Sep 1,"1,232",1 double bed,4.8,15
"Katowice, Poland",2023-08-19,Apartment in Katowice,Charming apartment with free parking,194,194,Sep 18 - 23,968,1 bed,4.47,36
"Katowice, Poland",2023-08-19,Apartment in Katowice,Kima apartament Sobocinskiego Katowice,180,180,Aug 27 - Sep 3,"1,259",1 bed,4.74,19
"Katowice, Poland",2023-08-19,Apartment in Katowice,Comfortable Apartament,264,264,Aug 27 - Sep 1,"1,320",2 beds,4.77,71
"Katowice, Poland",2023-08-19,Apartment in Katowice,Studio Wiola Centrum Strawberry,169,169,Aug 27 - Sep 1,845,1 double bed,4.64,34
"Katowice, Poland",2023-08-19,Apartment in Katowice,A wonderful apartment in the center of Katowice,110,110,Jan 22 - 27,550,1 sofa bed,4.8,177
"Katowice, Poland",2023-08-19,Apartment in Katowice,White Luxury Apartments,611,611,Aug 20 - 25,"3,051",2 beds,4.57,21
"Katowice, Poland",2023-08-19,Apartment in Katowice,KT103 ! Two Bedroom Apartment,470,470,Aug 27 - Sep 1,"2,347",3 beds,5.0,28
"Katowice, Poland",2023-08-19,Apartment in Katowice,Apartamenty na Teatralnej 14 No.3 - Katowice,218,218,Aug 27 - Sep 1,"1,086",1 bed,4.67,12
"Katowice, Poland",2023-08-19,Hostel in Katowice,Small room with 2 single beds,154,154,Sep 3 - 8,770,2 beds,4.7,37
"Katowice, Poland",2023-08-19,Apartment in Katowice,Katowice Historical District apart,369,402,Aug 27 - Sep 3,"2,582",2 beds,New,New
