city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),beds,star,number_of_ratings
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,New apartment / Old Towne,363,363,Aug 19 - 24,"1,813",1 bed,4.97,58
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Decor metro WiFi 300 Mb/s 55'TV Netflix HBO,313,460,Aug 24 - 29,"1,563",2 beds,4.6,91
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic Apartments - Room CH-V4,155,155,Aug 27 - Sep 1,773,2 beds,4.57,58
"Warsaw, Poland",2023-08-19,Hostel in Srodmiescia,Kapsula Hostel,126,126,Aug 19 - 24,629,1 single bed,4.72,627
"Warsaw, Poland",2023-08-19,Apartment in Wola,Arctic studio in city centre,228,280,Aug 27 - Sep 1,"1,138",2 beds,4.89,9
"Warsaw, Poland",2023-08-19,Apartment in Bielany,The Little Peaceful Retreat with Panorama,222,222,Aug 27 - Sep 2,"1,331",1 bed,5.0,20
"Warsaw, Poland",2023-08-19,Room in Srodmiescia, B&B in the CAPITAL CITY center ,182,224,Aug 27 - Sep 1,910,1 bed,4.84,783
"Warsaw, Poland",2023-08-19,Apartment in Wlochy,New flat next to Mercedes Headquater #2,246,246,Aug 20 - 25,"1,228",1 bed,5.0,3
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Comfort-Plus Apartment,531,531,Aug 22 - 27,"2,652",1 double bed,4.92,60
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,'Beer' Fryderyk Apartment,252,411,Aug 27 - Sep 1,"1,256",1 bed,4.59,63
"Warsaw, Poland",2023-08-19,Hostel in Srodmiescia,  Moon waw Single ,131,177,Aug 20 - 25,655,1 bed,3.85,20
"Warsaw, Poland",2023-08-19,Apartment in Wlochy,Modern II Warsaw Apartments,214,214,Aug 19 - 24,"1,069",1 bed,4.75,4
"Warsaw, Poland",2023-08-19,Room in Mokotow,Refined Ambiance Suite,235,235,Aug 20 - 25,"1,174",1 bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,Your Home in Away From Home,201,201,Aug 28 - Sep 2,"1,003",1 bed,4.75,24
"Warsaw, Poland",2023-08-19,Apartment in Ursynow,Recommendations Residence Apartment,209,209,Aug 19 - 24,"1,044",1 bed,4.9,20
"Warsaw, Poland",2023-08-19,Apartment in Wola,Kasprzaka 29 | Studio with washing machine | A/C,237,237,Aug 19 - 24,"1,185",1 double bed,New,New
"Warsaw, Poland",2023-08-19,Hostel in Wola,"#4 Cozy Private Room - Desk, Fast WiFi & Coffee ",157,157,Aug 23 - 30,"1,095",1 single bed,4.81,58
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fryderyk Room 'Lily',156,336,Aug 27 - Sep 1,780,1 single bed,4.46,102
"Warsaw, Poland",2023-08-19,Apartment in Ochota,Fossa Apartment - family place by the park,258,258,Aug 21 - 26,"1,287",3 beds,5.0,13
"Warsaw, Poland",2023-08-19,Guesthouse in Wlochy,Comfy room #9,130,130,Sep 23 - 28,646,1 bed,4.76,25
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Old Town Lovers - perfect location,252,306,Aug 27 - Sep 1,"1,260",1 double bed,4.79,324
"Warsaw, Poland",2023-08-19,Apartment in Bemowo,A comfortable apartment in Warsaw,311,388,Aug 27 - Sep 1,"1,552",1 double bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Wola,Dworzec Centralny 35 m2 ( tani  nocleg ),195,221,Aug 27 - Sep 1,974,1 bed,4.62,50
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,"Lovely designed flat (70 square meters,3 rooms)",216,401,Aug 20 - 25,"1,080",3 beds,4.64,244
